Date,Crop,Quantity Sold (kg),Price per kg (₹),Revenue (₹)
2021-05-16,Sorghum,946,19.09,18059.14
2021-05-16,Barley,1282,27.35,35062.7
2021-05-17,Rice,1443,27.43,39581.49
2021-05-17,Wheat,1136,25.68,29172.48
2021-05-17,Corn,618,24.09,14887.62
2021-05-17,Millet,744,18.82,14002.08
2021-05-17,Soybean,1023,53.03,54249.69
2021-05-17,Rapeseed,1247,51.29,63958.63
2021-05-17,Peanut,949,59.86,56807.14
2021-05-17,Sorghum,1453,21.21,30818.13
2021-05-17,Barley,860,26.67,22936.2
2021-05-18,Rice,879,32.5,28567.5
2021-05-18,Wheat,1391,26.1,36305.1
2021-05-18,Corn,656,21.05,13808.8
2021-05-18,Millet,1479,18.38,27184.02
2021-05-18,Soybean,1208,50.87,61450.96
2021-05-18,Rapeseed,969,54.62,52926.78
2021-05-18,Peanut,578,56.68,32761.04
2021-05-18,Sorghum,1295,18.67,24177.65
2021-05-18,Barley,1477,26.74,39494.98
2021-05-19,Rice,842,31.33,26379.86
2021-05-19,Wheat,551,27.1,14932.1
2021-05-19,Corn,1393,23.85,33223.05
2021-05-19,Millet,1407,19.3,27155.1
2021-05-19,Soybean,1466,54.4,79750.4
2021-05-19,Rapeseed,958,59.08,56598.64
2021-05-19,Peanut,703,58.54,41153.62
2021-05-19,Sorghum,520,19.79,10290.8
2021-05-19,Barley,1062,28.68,30458.16
2021-05-20,Rice,1277,32.35,41310.95
2021-05-20,Wheat,791,24.62,19474.42
2021-05-20,Corn,1284,21.23,27259.32
2021-05-20,Millet,1484,16.78,24901.52
2021-05-20,Soybean,1492,49.47,73809.24
2021-05-20,Rapeseed,1460,51.27,74854.2
2021-05-20,Peanut,968,65.06,62978.08
2021-05-20,Sorghum,1482,21.16,31359.12
2021-05-20,Barley,1236,30.44,37623.84
2021-05-21,Rice,1081,32.17,34775.77
2021-05-21,Wheat,1021,25.46,25994.66
2021-05-21,Corn,512,23.57,12067.84
2021-05-21,Millet,1325,17.33,22962.25
2021-05-21,Soybean,1095,50.59,55396.05
2021-05-21,Rapeseed,1155,50.92,58812.6
2021-05-21,Peanut,930,55.85,51940.5
2021-05-21,Sorghum,657,19.5,12811.5
2021-05-21,Barley,990,30.23,29927.7
2021-05-22,Rice,1035,30.92,32002.2
2021-05-22,Wheat,1216,26.06,31688.96
2021-05-22,Corn,1112,23.89,26565.68
2021-05-22,Millet,971,16.88,16390.48
2021-05-22,Soybean,595,54.27,32290.65
2021-05-22,Rapeseed,1107,59.56,65932.92
2021-05-22,Peanut,757,57.81,43762.17
2021-05-22,Sorghum,799,21.26,16986.74
2021-05-22,Barley,1188,29.89,35509.32
2021-05-23,Rice,609,29.78,18136.02
2021-05-23,Wheat,628,26.39,16572.92
2021-05-23,Corn,636,22.26,14157.36
2021-05-23,Millet,1148,17.04,19561.92
2021-05-23,Soybean,1479,49.36,73003.44
2021-05-23,Rapeseed,1142,53.88,61530.96
2021-05-23,Peanut,650,55.58,36127.0
2021-05-23,Sorghum,609,19.67,11979.03
2021-05-23,Barley,774,27.16,21021.84
2021-05-24,Rice,549,28.85,15838.65
2021-05-24,Wheat,725,24.55,17798.75
2021-05-24,Corn,654,22.62,14793.48
2021-05-24,Millet,979,18.8,18405.2
2021-05-24,Soybean,1307,47.98,62709.86
2021-05-24,Rapeseed,773,50.89,39337.97
2021-05-24,Peanut,666,65.66,43729.56
2021-05-24,Sorghum,1402,20.82,29189.64
2021-05-24,Barley,1397,28.57,39912.29
2021-05-25,Rice,961,28.66,27542.26
2021-05-25,Wheat,951,25.65,24393.15
2021-05-25,Corn,1130,23.81,26905.3
2021-05-25,Millet,1196,16.79,20080.84
2021-05-25,Soybean,888,47.68,42339.84
2021-05-25,Rapeseed,785,57.46,45106.1
2021-05-25,Peanut,1446,57.43,83043.78
2021-05-25,Sorghum,1437,20.79,29875.23
2021-05-25,Barley,1489,28.7,42734.3
2021-05-26,Rice,1212,29.93,36275.16
2021-05-26,Wheat,1343,24.35,32702.05
2021-05-26,Corn,893,23.92,21360.56
2021-05-26,Millet,512,17.89,9159.68
2021-05-26,Soybean,944,46.55,43943.2
2021-05-26,Rapeseed,520,55.23,28719.6
2021-05-26,Peanut,825,59.87,49392.75
2021-05-26,Sorghum,1156,18.79,21721.24
2021-05-26,Barley,1152,29.56,34053.12
2021-05-27,Rice,1279,29.91,38254.89
2021-05-27,Wheat,1139,22.74,25900.86
2021-05-27,Corn,1460,21.25,31025.0
2021-05-27,Millet,679,19.55,13274.45
2021-05-27,Soybean,1026,48.46,49719.96
2021-05-27,Rapeseed,1076,57.66,62042.16
2021-05-27,Peanut,520,64.85,33722.0
2021-05-27,Sorghum,986,19.63,19355.18
2021-05-27,Barley,771,25.57,19714.47
2021-05-28,Rice,1171,31.16,36488.36
2021-05-28,Wheat,607,23.39,14197.73
2021-05-28,Corn,651,20.81,13547.31
2021-05-28,Millet,578,17.6,10172.8
2021-05-28,Soybean,668,51.59,34462.12
2021-05-28,Rapeseed,886,53.89,47746.54
2021-05-28,Peanut,799,61.5,49138.5
2021-05-28,Sorghum,657,21.48,14112.36
2021-05-28,Barley,726,25.66,18629.16
2021-05-29,Rice,1472,30.11,44321.92
2021-05-29,Wheat,1037,25.79,26744.23
2021-05-29,Corn,1137,21.66,24627.42
2021-05-29,Millet,1039,17.2,17870.8
2021-05-29,Soybean,1481,49.76,73694.56
2021-05-29,Rapeseed,1202,54.79,65857.58
2021-05-29,Peanut,983,63.35,62273.05
2021-05-29,Sorghum,551,20.97,11554.47
2021-05-29,Barley,1273,27.89,35503.97
2021-05-30,Rice,1428,27.35,39055.8
2021-05-30,Wheat,579,23.48,13594.92
2021-05-30,Corn,1118,23.97,26798.46
2021-05-30,Millet,1216,17.11,20805.76
2021-05-30,Soybean,979,45.55,44593.45
2021-05-30,Rapeseed,976,54.45,53143.2
2021-05-30,Peanut,777,63.23,49129.71
2021-05-30,Sorghum,1137,21.59,24547.83
2021-05-30,Barley,775,28.14,21808.5
2021-05-31,Rice,843,30.05,25332.15
2021-05-31,Wheat,1211,24.3,29427.3
2021-05-31,Corn,961,22.95,22054.95
2021-05-31,Millet,1208,16.73,20209.84
2021-05-31,Soybean,642,46.68,29968.56
2021-05-31,Rapeseed,852,59.53,50719.56
2021-05-31,Peanut,967,57.26,55370.42
2021-05-31,Sorghum,1376,21.27,29267.52
2021-05-31,Barley,1418,29.5,41831.0
2021-06-01,Rice,668,31.25,20875.0
2021-06-01,Wheat,1377,27.05,37247.85
2021-06-01,Corn,960,22.36,21465.6
2021-06-01,Millet,1234,18.49,22816.66
2021-06-01,Soybean,768,45.29,34782.72
2021-06-01,Rapeseed,822,54.16,44519.52
2021-06-01,Peanut,1192,61.37,73153.04
2021-06-01,Sorghum,588,20.32,11948.16
2021-06-01,Barley,504,25.47,12836.88
2021-06-02,Rice,843,27.3,23013.9
2021-06-02,Wheat,970,23.04,22348.8
2021-06-02,Corn,1201,22.15,26602.15
2021-06-02,Millet,1055,18.31,19317.05
2021-06-02,Soybean,697,45.98,32048.06
2021-06-02,Rapeseed,529,57.21,30264.09
2021-06-02,Peanut,562,56.85,31949.7
2021-06-02,Sorghum,1331,21.25,28283.75
2021-06-02,Barley,807,28.91,23330.37
2021-06-03,Rice,1158,32.64,37797.12
2021-06-03,Wheat,606,26.92,16313.52
2021-06-03,Corn,800,21.4,17120.0
2021-06-03,Millet,576,18.26,10517.76
2021-06-03,Soybean,1313,47.53,62406.89
2021-06-03,Rapeseed,1207,56.99,68786.93
2021-06-03,Peanut,1099,63.65,69951.35
2021-06-03,Sorghum,1084,19.66,21311.44
2021-06-03,Barley,1366,26.95,36813.7
2021-06-04,Rice,1059,30.41,32204.19
2021-06-04,Wheat,1009,26.62,26859.58
2021-06-04,Corn,1077,23.12,24900.24
2021-06-04,Millet,1309,17.59,23025.31
2021-06-04,Soybean,871,45.14,39316.94
2021-06-04,Rapeseed,1030,54.98,56629.4
2021-06-04,Peanut,1324,62.25,82419.0
2021-06-04,Sorghum,931,18.64,17353.84
2021-06-04,Barley,639,29.13,18614.07
2021-06-05,Rice,1587,28.22,44785.14
2021-06-05,Wheat,760,27.34,20778.4
2021-06-05,Corn,1473,23.29,34306.17
2021-06-05,Millet,1078,17.53,18897.34
2021-06-05,Soybean,1471,48.81,71799.51
2021-06-05,Rapeseed,702,52.12,36588.24
2021-06-05,Peanut,1454,54.42,79126.68
2021-06-05,Sorghum,579,19.83,11481.57
2021-06-05,Barley,1122,27.62,30989.64
2021-06-06,Rice,1372,28.39,38951.08
2021-06-06,Wheat,688,25.07,17248.16
2021-06-06,Corn,602,19.82,11931.64
2021-06-06,Millet,1415,18.8,26602.0
2021-06-06,Soybean,672,53.09,35676.48
2021-06-06,Rapeseed,1498,51.75,77521.5
2021-06-06,Peanut,690,54.85,37846.5
2021-06-06,Sorghum,724,18.78,13596.72
2021-06-06,Barley,1453,28.75,41773.75
2021-06-07,Rice,1256,30.39,38169.84
2021-06-07,Wheat,592,24.38,14432.96
2021-06-07,Corn,682,19.87,13551.34
2021-06-07,Millet,1198,16.25,19467.5
2021-06-07,Soybean,908,46.74,42439.92
2021-06-07,Rapeseed,832,59.52,49520.64
2021-06-07,Peanut,1024,65.76,67338.24
2021-06-07,Sorghum,1453,19.56,28420.68
2021-06-07,Barley,1247,26.09,32534.23
2021-06-08,Rice,1350,27.25,36787.5
2021-06-08,Wheat,1179,24.38,28744.02
2021-06-08,Corn,1217,21.05,25617.85
2021-06-08,Millet,1109,18.56,20583.04
2021-06-08,Soybean,1388,52.59,72994.92
2021-06-08,Rapeseed,687,51.05,35071.35
2021-06-08,Peanut,1453,56.06,81455.18
2021-06-08,Sorghum,1197,21.06,25208.82
2021-06-08,Barley,1091,30.07,32806.37
2021-06-09,Rice,994,32.37,32175.78
2021-06-09,Wheat,876,23.87,20910.12
2021-06-09,Corn,925,20.27,18749.75
2021-06-09,Millet,673,17.57,11824.61
2021-06-09,Soybean,520,54.88,28537.6
2021-06-09,Rapeseed,897,55.28,49586.16
2021-06-09,Peanut,1276,63.35,80834.6
2021-06-09,Sorghum,1262,18.74,23649.88
2021-06-09,Barley,1354,28.98,39238.92
2021-06-10,Rice,925,27.45,25391.25
2021-06-10,Wheat,1086,22.97,24945.42
2021-06-10,Corn,1370,21.16,28989.2
2021-06-10,Millet,1428,16.34,23333.52
2021-06-10,Soybean,675,47.88,32319.0
2021-06-10,Rapeseed,773,59.05,45645.65
2021-06-10,Peanut,1103,58.37,64382.11
2021-06-10,Sorghum,688,18.25,12556.0
2021-06-10,Barley,1137,29.76,33837.12
2021-06-11,Rice,715,32.39,23158.85
2021-06-11,Wheat,546,27.37,14944.02
2021-06-11,Corn,1474,20.57,30320.18
2021-06-11,Millet,753,19.18,14442.54
2021-06-11,Soybean,1336,46.91,62671.76
2021-06-11,Rapeseed,669,51.67,34567.23
2021-06-11,Peanut,532,65.27,34723.64
2021-06-11,Sorghum,756,18.52,14001.12
2021-06-11,Barley,612,28.03,17154.36
2021-06-12,Rice,1009,29.95,30219.55
2021-06-12,Wheat,1286,24.97,32111.42
2021-06-12,Corn,1350,20.86,28161.0
2021-06-12,Millet,820,16.23,13308.6
2021-06-12,Soybean,854,46.47,39685.38
2021-06-12,Rapeseed,1310,51.17,67032.7
2021-06-12,Peanut,1219,63.78,77747.82
2021-06-12,Sorghum,558,18.94,10568.52
2021-06-12,Barley,1352,25.92,35043.84
2021-06-13,Rice,1641,30.9,50706.9
2021-06-13,Wheat,1256,25.89,32517.84
2021-06-13,Corn,949,22.12,20991.88
2021-06-13,Millet,890,18.9,16821.0
2021-06-13,Soybean,613,53.9,33040.7
2021-06-13,Rapeseed,1402,55.84,78287.68
2021-06-13,Peanut,734,55.78,40942.52
2021-06-13,Sorghum,1168,21.33,24913.44
2021-06-13,Barley,1330,28.38,37745.4
2021-06-14,Rice,1075,29.6,31820.0
2021-06-14,Wheat,1062,27.2,28886.4
2021-06-14,Corn,1084,24.16,26189.44
2021-06-14,Millet,1121,16.28,18249.88
2021-06-14,Soybean,508,51.78,26304.24
2021-06-14,Rapeseed,1331,56.25,74868.75
2021-06-14,Peanut,1033,61.91,63953.03
2021-06-14,Sorghum,1181,20.13,23773.53
2021-06-14,Barley,1331,27.22,36229.82
2021-06-15,Rice,1057,28.69,30325.33
2021-06-15,Wheat,1003,25.97,26047.91
2021-06-15,Corn,843,22.99,19380.57
2021-06-15,Millet,1339,19.69,26364.91
2021-06-15,Soybean,1348,53.78,72495.44
2021-06-15,Rapeseed,1437,57.23,82239.51
2021-06-15,Peanut,1000,56.67,56670.0
2021-06-15,Sorghum,692,21.19,14663.48
2021-06-15,Barley,1366,26.52,36226.32
2021-06-16,Rice,1068,28.64,30587.52
2021-06-16,Wheat,1072,27.38,29351.36
2021-06-16,Corn,1174,23.2,27236.8
2021-06-16,Millet,1069,17.71,18931.99
2021-06-16,Soybean,681,53.52,36447.12
2021-06-16,Rapeseed,1057,53.74,56803.18
2021-06-16,Peanut,1277,57.3,73172.1
2021-06-16,Sorghum,539,18.32,9874.48
2021-06-16,Barley,618,30.63,18929.34
2021-06-17,Rice,843,27.89,23511.27
2021-06-17,Wheat,778,26.57,20671.46
2021-06-17,Corn,975,19.87,19373.25
2021-06-17,Millet,632,16.28,10288.96
2021-06-17,Soybean,744,51.64,38420.16
2021-06-17,Rapeseed,758,53.23,40348.34
2021-06-17,Peanut,1346,61.03,82146.38
2021-06-17,Sorghum,552,21.05,11619.6
2021-06-17,Barley,1032,29.05,29979.6
2021-06-18,Rice,1471,31.9,46924.9
2021-06-18,Wheat,1164,24.92,29006.88
2021-06-18,Corn,893,21.69,19369.17
2021-06-18,Millet,838,18.28,15318.64
2021-06-18,Soybean,784,51.8,40611.2
2021-06-18,Rapeseed,1082,50.94,55117.08
2021-06-18,Peanut,1227,54.44,66797.88
2021-06-18,Sorghum,725,21.97,15928.25
2021-06-18,Barley,973,30.47,29647.31
2021-06-19,Rice,1093,28.61,31270.73
2021-06-19,Wheat,1082,27.02,29235.64
2021-06-19,Corn,1481,23.12,34240.72
2021-06-19,Millet,616,19.33,11907.28
2021-06-19,Soybean,1413,51.99,73461.87
2021-06-19,Rapeseed,818,57.32,46887.76
2021-06-19,Peanut,1439,62.47,89894.33
2021-06-19,Sorghum,606,21.81,13216.86
2021-06-19,Barley,1325,29.48,39061.0
2021-06-20,Rice,1221,27.66,33772.86
2021-06-20,Wheat,1457,26.91,39207.87
2021-06-20,Corn,819,20.92,17133.48
2021-06-20,Millet,1164,18.6,21650.4
2021-06-20,Soybean,1167,54.94,64114.98
2021-06-20,Rapeseed,901,52.85,47617.85
2021-06-20,Peanut,1451,55.56,80617.56
2021-06-20,Sorghum,685,21.93,15022.05
2021-06-20,Barley,1062,28.68,30458.16
2021-06-21,Rice,1731,28.77,49800.87
2021-06-21,Wheat,1293,26.43,34173.99
2021-06-21,Corn,962,22.38,21529.56
2021-06-21,Millet,666,17.84,11881.44
2021-06-21,Soybean,1340,51.25,68675.0
2021-06-21,Rapeseed,1011,53.93,54523.23
2021-06-21,Peanut,774,56.52,43746.48
2021-06-21,Sorghum,1235,20.64,25490.4
2021-06-21,Barley,1415,25.78,36478.7
2021-06-22,Rice,1057,31.56,33358.92
2021-06-22,Wheat,833,26.72,22257.76
2021-06-22,Corn,1427,23.94,34162.38
2021-06-22,Millet,1421,19.77,28093.17
2021-06-22,Soybean,1482,52.36,77597.52
2021-06-22,Rapeseed,1355,60.46,81923.3
2021-06-22,Peanut,1334,64.99,86696.66
2021-06-22,Sorghum,1438,20.54,29536.52
2021-06-22,Barley,1411,26.42,37278.62
2021-06-23,Rice,1567,32.63,51131.21
2021-06-23,Wheat,786,26.62,20923.32
2021-06-23,Corn,1008,23.94,24131.52
2021-06-23,Millet,720,19.07,13730.4
2021-06-23,Soybean,1247,48.9,60978.3
2021-06-23,Rapeseed,1030,60.43,62242.9
2021-06-23,Peanut,613,62.92,38569.96
2021-06-23,Sorghum,1433,21.23,30422.59
2021-06-23,Barley,1110,29.37,32600.7
2021-06-24,Rice,1676,30.15,50531.4
2021-06-24,Wheat,753,24.68,18584.04
2021-06-24,Corn,1305,21.84,28501.2
2021-06-24,Millet,627,18.17,11392.59
2021-06-24,Soybean,673,45.12,30365.76
2021-06-24,Rapeseed,1380,55.58,76700.4
2021-06-24,Peanut,1160,64.18,74448.8
2021-06-24,Sorghum,1081,18.11,19576.91
2021-06-24,Barley,943,26.82,25291.26
2021-06-25,Rice,844,28.41,23978.04
2021-06-25,Wheat,587,25.97,15244.39
2021-06-25,Corn,1354,22.71,30749.34
2021-06-25,Millet,920,16.95,15594.0
2021-06-25,Soybean,1078,48.35,52121.3
2021-06-25,Rapeseed,1462,58.5,85527.0
2021-06-25,Peanut,1078,60.21,64906.38
2021-06-25,Sorghum,990,18.94,18750.6
2021-06-25,Barley,533,25.71,13703.43
2021-06-26,Rice,1046,29.64,31003.44
2021-06-26,Wheat,1492,25.85,38568.2
2021-06-26,Corn,1181,22.79,26914.99
2021-06-26,Millet,830,17.03,14134.9
2021-06-26,Soybean,1425,51.84,73872.0
2021-06-26,Rapeseed,911,60.46,55079.06
2021-06-26,Peanut,805,56.18,45224.9
2021-06-26,Sorghum,662,20.03,13259.86
2021-06-26,Barley,1387,29.04,40278.48
2021-06-27,Rice,858,31.91,27378.78
2021-06-27,Wheat,1453,23.62,34319.86
2021-06-27,Corn,1083,22.35,24205.05
2021-06-27,Millet,632,17.38,10984.16
2021-06-27,Soybean,879,52.8,46411.2
2021-06-27,Rapeseed,868,52.87,45891.16
2021-06-27,Peanut,576,63.93,36823.68
2021-06-27,Sorghum,1420,18.07,25659.4
2021-06-27,Barley,1355,26.35,35704.25
2021-06-28,Rice,1254,30.32,38021.28
2021-06-28,Wheat,869,26.37,22915.53
2021-06-28,Corn,536,22.29,11947.44
2021-06-28,Millet,815,17.05,13895.75
2021-06-28,Soybean,717,49.6,35563.2
2021-06-28,Rapeseed,747,56.83,42452.01
2021-06-28,Peanut,1231,62.31,76703.61
2021-06-28,Sorghum,843,21.76,18343.68
2021-06-28,Barley,1051,25.73,27042.23
2021-06-29,Rice,1635,27.42,44831.7
2021-06-29,Wheat,662,25.46,16854.52
2021-06-29,Corn,504,21.24,10704.96
2021-06-29,Millet,716,17.18,12300.88
2021-06-29,Soybean,1227,53.57,65730.39
2021-06-29,Rapeseed,598,56.66,33882.68
2021-06-29,Peanut,763,65.24,49778.12
2021-06-29,Sorghum,723,18.24,13187.52
2021-06-29,Barley,1197,29.38,35167.86
2021-06-30,Rice,1731,27.09,46892.79
2021-06-30,Wheat,1117,23.09,25791.53
2021-06-30,Corn,548,22.85,12521.8
2021-06-30,Millet,990,16.96,16790.4
2021-06-30,Soybean,908,50.1,45490.8
2021-06-30,Rapeseed,674,49.72,33511.28
2021-06-30,Peanut,979,61.2,59914.8
2021-06-30,Sorghum,768,20.66,15866.88
2021-06-30,Barley,1400,30.46,42644.0
2021-07-01,Rice,1326,29.83,39554.58
2021-07-01,Wheat,718,23.78,17074.04
2021-07-01,Corn,1383,23.02,31836.66
2021-07-01,Millet,1203,19.75,23759.25
2021-07-01,Soybean,804,48.12,38688.48
2021-07-01,Rapeseed,744,51.69,38457.36
2021-07-01,Peanut,707,65.81,46527.67
2021-07-01,Sorghum,1010,20.56,20765.6
2021-07-01,Barley,662,29.02,19211.24
2021-07-02,Rice,2146,31.92,68500.32
2021-07-02,Wheat,1257,26.27,33021.39
2021-07-02,Corn,1323,23.82,31513.86
2021-07-02,Millet,680,17.45,11866.0
2021-07-02,Soybean,1205,52.37,63105.85
2021-07-02,Rapeseed,1220,52.61,64184.2
2021-07-02,Peanut,745,54.55,40639.75
2021-07-02,Sorghum,1307,19.96,26087.72
2021-07-02,Barley,632,26.76,16912.32
2021-07-03,Rice,1269,29.12,36953.28
2021-07-03,Wheat,1123,26.87,30175.01
2021-07-03,Corn,603,21.14,12747.42
2021-07-03,Millet,1016,17.12,17393.92
2021-07-03,Soybean,1260,48.45,61047.0
2021-07-03,Rapeseed,741,54.5,40384.5
2021-07-03,Peanut,862,63.73,54935.26
2021-07-03,Sorghum,805,19.89,16011.45
2021-07-03,Barley,813,30.78,25024.14
2021-07-04,Rice,999,27.69,27662.31
2021-07-04,Wheat,562,26.24,14746.88
2021-07-04,Corn,515,23.3,11999.5
2021-07-04,Millet,845,19.55,16519.75
2021-07-04,Soybean,1458,48.18,70246.44
2021-07-04,Rapeseed,1489,50.33,74941.37
2021-07-04,Peanut,915,62.07,56794.05
2021-07-04,Sorghum,1496,21.99,32897.04
2021-07-04,Barley,1243,28.52,35450.36
2021-07-05,Rice,1588,30.34,48179.92
2021-07-05,Wheat,575,23.08,13271.0
2021-07-05,Corn,1079,20.89,22540.31
2021-07-05,Millet,1193,18.01,21485.93
2021-07-05,Soybean,1214,54.06,65628.84
2021-07-05,Rapeseed,1483,49.93,74046.19
2021-07-05,Peanut,1131,54.96,62159.76
2021-07-05,Sorghum,1346,21.77,29302.42
2021-07-05,Barley,791,25.73,20352.43
2021-07-06,Rice,1282,27.38,35101.16
2021-07-06,Wheat,976,25.39,24780.64
2021-07-06,Corn,791,20.44,16168.04
2021-07-06,Millet,1194,18.74,22375.56
2021-07-06,Soybean,1409,52.87,74493.83
2021-07-06,Rapeseed,600,50.44,30264.0
2021-07-06,Peanut,672,54.47,36603.84
2021-07-06,Sorghum,1377,19.87,27360.99
2021-07-06,Barley,938,29.26,27445.88
2021-07-07,Rice,1933,28.33,54761.89
2021-07-07,Wheat,1344,25.39,34124.16
2021-07-07,Corn,1389,22.24,30891.36
2021-07-07,Millet,859,16.86,14482.74
2021-07-07,Soybean,1386,53.69,74414.34
2021-07-07,Rapeseed,1184,60.16,71229.44
2021-07-07,Peanut,857,61.97,53108.29
2021-07-07,Sorghum,1375,19.35,26606.25
2021-07-07,Barley,1433,27.55,39479.15
2021-07-08,Rice,1140,27.94,31851.6
2021-07-08,Wheat,623,24.49,15257.27
2021-07-08,Corn,592,24.06,14243.52
2021-07-08,Millet,1322,19.5,25779.0
2021-07-08,Soybean,1272,54.01,68700.72
2021-07-08,Rapeseed,735,60.35,44357.25
2021-07-08,Peanut,690,61.72,42586.8
2021-07-08,Sorghum,1156,21.93,25351.08
2021-07-08,Barley,1007,27.07,27259.49
2021-07-09,Rice,1131,31.43,35547.33
2021-07-09,Wheat,1199,26.76,32085.24
2021-07-09,Corn,1252,23.5,29422.0
2021-07-09,Millet,605,18.66,11289.3
2021-07-09,Soybean,691,45.07,31143.37
2021-07-09,Rapeseed,1043,52.55,54809.65
2021-07-09,Peanut,1134,59.22,67155.48
2021-07-09,Sorghum,1447,21.34,30878.98
2021-07-09,Barley,513,30.34,15564.42
2021-07-10,Rice,1744,29.99,52302.56
2021-07-10,Wheat,653,27.01,17637.53
2021-07-10,Corn,770,22.89,17625.3
2021-07-10,Millet,573,18.94,10852.62
2021-07-10,Soybean,1254,47.44,59489.76
2021-07-10,Rapeseed,1005,50.63,50883.15
2021-07-10,Peanut,1001,58.89,58948.89
2021-07-10,Sorghum,1394,19.18,26736.92
2021-07-10,Barley,731,28.97,21177.07
2021-07-11,Rice,2230,32.73,72987.9
2021-07-11,Wheat,1188,26.22,31149.36
2021-07-11,Corn,1393,23.25,32387.25
2021-07-11,Millet,516,18.71,9654.36
2021-07-11,Soybean,1183,48.25,57079.75
2021-07-11,Rapeseed,1082,51.6,55831.2
2021-07-11,Peanut,1142,59.42,67857.64
2021-07-11,Sorghum,891,19.79,17632.89
2021-07-11,Barley,1198,26.8,32106.4
2021-07-12,Rice,1821,31.66,57652.86
2021-07-12,Wheat,515,25.09,12921.35
2021-07-12,Corn,672,22.33,15005.76
2021-07-12,Millet,1370,18.15,24865.5
2021-07-12,Soybean,1435,46.65,66942.75
2021-07-12,Rapeseed,1206,52.86,63749.16
2021-07-12,Peanut,1087,58.31,63382.97
2021-07-12,Sorghum,631,18.65,11768.15
2021-07-12,Barley,858,30.43,26108.94
2021-07-13,Rice,996,29.79,29670.84
2021-07-13,Wheat,1176,24.72,29070.72
2021-07-13,Corn,1424,20.43,29092.32
2021-07-13,Millet,1188,17.89,21253.32
2021-07-13,Soybean,677,46.59,31541.43
2021-07-13,Rapeseed,1144,58.18,66557.92
2021-07-13,Peanut,1331,62.98,83826.38
2021-07-13,Sorghum,844,20.14,16998.16
2021-07-13,Barley,996,28.68,28565.28
2021-07-14,Rice,2046,30.33,62055.18
2021-07-14,Wheat,636,26.2,16663.2
2021-07-14,Corn,695,22.59,15700.05
2021-07-14,Millet,1218,17.58,21412.44
2021-07-14,Soybean,1024,46.79,47912.96
2021-07-14,Rapeseed,840,57.59,48375.6
2021-07-14,Peanut,618,59.6,36832.8
2021-07-14,Sorghum,1335,20.66,27581.1
2021-07-14,Barley,872,26.35,22977.2
2021-07-15,Rice,1396,32.21,44965.16
2021-07-15,Wheat,901,22.98,20704.98
2021-07-15,Corn,1382,23.71,32767.22
2021-07-15,Millet,1282,16.76,21486.32
2021-07-15,Soybean,617,46.95,28968.15
2021-07-15,Rapeseed,604,55.88,33751.52
2021-07-15,Peanut,1393,62.57,87160.01
2021-07-15,Sorghum,1365,18.73,25566.45
2021-07-15,Barley,755,28.61,21600.55
2021-07-16,Rice,2100,28.04,58884.0
2021-07-16,Wheat,573,25.76,14760.48
2021-07-16,Corn,1472,22.26,32766.72
2021-07-16,Millet,1034,18.46,19087.64
2021-07-16,Soybean,1442,47.63,68682.46
2021-07-16,Rapeseed,552,53.09,29305.68
2021-07-16,Peanut,700,54.45,38115.0
2021-07-16,Sorghum,1390,20.19,28064.1
2021-07-16,Barley,1034,28.75,29727.5
2021-07-17,Rice,1345,31.96,42986.2
2021-07-17,Wheat,782,25.36,19831.52
2021-07-17,Corn,689,22.48,15488.72
2021-07-17,Millet,543,18.48,10034.64
2021-07-17,Soybean,1139,49.16,55993.24
2021-07-17,Rapeseed,1181,50.54,59687.74
2021-07-17,Peanut,884,57.76,51059.84
2021-07-17,Sorghum,810,21.97,17795.7
2021-07-17,Barley,1356,30.43,41263.08
2021-07-18,Rice,1957,30.09,58886.13
2021-07-18,Wheat,1030,26.85,27655.5
2021-07-18,Corn,1217,23.23,28270.91
2021-07-18,Millet,1310,16.61,21759.1
2021-07-18,Soybean,592,52.27,30943.84
2021-07-18,Rapeseed,1130,59.22,66918.6
2021-07-18,Peanut,1345,55.49,74634.05
2021-07-18,Sorghum,1341,21.55,28898.55
2021-07-18,Barley,1280,29.46,37708.8
2021-07-19,Rice,1408,32.88,46295.04
2021-07-19,Wheat,1350,23.97,32359.5
2021-07-19,Corn,1321,22.21,29339.41
2021-07-19,Millet,1048,16.61,17407.28
2021-07-19,Soybean,1370,50.67,69417.9
2021-07-19,Rapeseed,756,60.16,45480.96
2021-07-19,Peanut,655,63.17,41376.35
2021-07-19,Sorghum,1081,19.41,20982.21
2021-07-19,Barley,1223,27.81,34011.63
2021-07-20,Rice,862,27.44,23653.28
2021-07-20,Wheat,821,24.01,19712.21
2021-07-20,Corn,783,23.25,18204.75
2021-07-20,Millet,1393,18.66,25993.38
2021-07-20,Soybean,1113,47.72,53112.36
2021-07-20,Rapeseed,992,59.82,59341.44
2021-07-20,Peanut,1305,55.62,72584.1
2021-07-20,Sorghum,805,21.32,17162.6
2021-07-20,Barley,618,28.64,17699.52
2021-07-21,Rice,2155,28.81,62085.55
2021-07-21,Wheat,658,25.18,16568.44
2021-07-21,Corn,819,20.54,16822.26
2021-07-21,Millet,808,19.18,15497.44
2021-07-21,Soybean,1200,49.97,59964.0
2021-07-21,Rapeseed,1151,55.61,64007.11
2021-07-21,Peanut,1499,64.51,96700.49
2021-07-21,Sorghum,1174,19.59,22998.66
